City,Date,Year,Month,DAY,pm2_5,pm10,no2,so2,co,AQI,AQI Status,Health Risk
Delhi,2024-01-01,2024,1,1,122,183,24,12,1.66,120,Poor,24
Delhi,2024-01-02,2024,1,2,122,214,84,15,2.22,142,Poor,28
Delhi,2024-01-03,2024,1,3,119,232,33,7,0.44,135,Poor,27
Delhi,2024-01-04,2024,1,4,277,374,39,6,0.78,258,Very Poor,52
Delhi,2024-01-05,2024,1,5,296,338,85,26,0.41,266,Very Poor,53
Delhi,2024-01-06,2024,1,6,68,168,68,32,2.44,98,Moderate,20
Delhi,2024-01-07,2024,1,7,290,361,71,7,2.21,267,Very Poor,53
Delhi,2024-01-08,2024,1,8,154,184,82,22,2.39,148,Poor,30
Delhi,2024-01-09,2024,1,9,33,51,62,6,1.84,44,Good,9
Delhi,2024-01-10,2024,1,10,283,339,44,18,1.22,252,Very Poor,50
Delhi,2024-01-11,2024,1,11,69,182,13,6,1.29,91,Moderate,18
Delhi,2024-01-12,2024,1,12,73,188,13,33,2.44,95,Moderate,19
Delhi,2024-01-13,2024,1,13,237,290,43,14,2.28,214,Very Poor,43
Delhi,2024-01-14,2024,1,14,289,393,57,19,0.59,273,Very Poor,55
Delhi,2024-01-15,2024,1,15,234,305,49,25,1.22,218,Very Poor,44
Delhi,2024-01-16,2024,1,16,72,105,35,29,0.99,74,Moderate,15
Delhi,2024-01-17,2024,1,17,60,98,24,5,0.43,64,Moderate,13
Delhi,2024-01-18,2024,1,18,28,125,10,12,0.41,53,Moderate,11
Delhi,2024-01-19,2024,1,19,158,248,17,39,2.06,156,Poor,31
Delhi,2024-01-20,2024,1,20,280,395,50,32,2.21,268,Very Poor,54
Delhi,2024-01-21,2024,1,21,287,330,42,27,1.8,250,Very Poor,50
Delhi,2024-01-22,2024,1,22,118,171,44,5,1.2,119,Poor,24
Delhi,2024-01-23,2024,1,23,150,160,14,30,0.9,125,Poor,25
Delhi,2024-01-24,2024,1,24,226,250,51,17,0.82,198,Poor,40
Delhi,2024-01-25,2024,1,25,250,311,13,34,0.69,220,Very Poor,44
Delhi,2024-01-26,2024,1,26,250,368,24,33,0.88,240,Very Poor,48
Delhi,2024-01-27,2024,1,27,179,259,68,26,2.25,180,Poor,36
Delhi,2024-01-28,2024,1,28,189,243,71,10,1.36,181,Poor,36
Delhi,2024-01-29,2024,1,29,127,180,39,15,1.08,125,Poor,25
Delhi,2024-01-30,2024,1,30,250,321,10,31,1.3,223,Very Poor,45
Delhi,2024-01-31,2024,1,31,135,221,12,10,1.47,136,Poor,27
Delhi,2024-02-01,2024,2,1,156,227,46,37,0.65,155,Poor,31
Delhi,2024-02-02,2024,2,2,191,224,88,36,1.49,180,Poor,36
Delhi,2024-02-03,2024,2,3,252,313,71,16,0.93,234,Very Poor,47
Delhi,2024-02-04,2024,2,4,132,242,65,21,0.96,151,Poor,30
Delhi,2024-02-05,2024,2,5,21,32,63,27,0.99,32,Good,6
Delhi,2024-02-06,2024,2,6,244,254,28,6,1.51,203,Very Poor,41
Delhi,2024-02-07,2024,2,7,237,278,79,36,1.64,217,Very Poor,43
Delhi,2024-02-08,2024,2,8,222,287,26,28,1.39,202,Very Poor,40
Delhi,2024-02-09,2024,2,9,117,196,20,20,2.15,121,Poor,24
Delhi,2024-02-10,2024,2,10,143,211,79,20,0.49,150,Poor,30
Delhi,2024-02-11,2024,2,11,167,235,45,23,1.89,163,Poor,33
Delhi,2024-02-12,2024,2,12,166,195,80,37,1.23,157,Poor,31
Delhi,2024-02-13,2024,2,13,58,149,10,15,1.12,75,Moderate,15
Delhi,2024-02-14,2024,2,14,170,210,51,39,0.88,158,Poor,32
Delhi,2024-02-15,2024,2,15,163,262,69,6,2.49,173,Poor,35
Delhi,2024-02-16,2024,2,16,273,294,78,36,1.73,240,Very Poor,48
Delhi,2024-02-17,2024,2,17,28,142,28,20,2.28,62,Moderate,12
Delhi,2024-02-18,2024,2,18,171,234,42,28,2.19,164,Poor,33
Delhi,2024-02-19,2024,2,19,132,213,45,24,1.62,138,Poor,28
Delhi,2024-02-20,2024,2,20,131,229,34,33,1,141,Poor,28
Delhi,2024-02-21,2024,2,21,213,276,44,20,2.49,198,Poor,40
Delhi,2024-02-22,2024,2,22,180,257,42,18,1.08,175,Poor,35
Delhi,2024-02-23,2024,2,23,154,230,26,37,1.54,151,Poor,30
Delhi,2024-02-24,2024,2,24,41,160,39,12,1.73,76,Moderate,15
Delhi,2024-02-25,2024,2,25,245,275,39,37,1.61,212,Very Poor,42
Delhi,2024-02-26,2024,2,26,166,179,44,21,2.49,145,Poor,29
Delhi,2024-02-27,2024,2,27,177,279,55,10,1.18,183,Poor,37
Delhi,2024-02-28,2024,2,28,252,298,33,33,1.3,221,Very Poor,44
Delhi,2024-02-29,2024,2,29,200,304,69,37,0.56,205,Very Poor,41
Delhi,2024-03-01,2024,3,1,272,366,41,27,0.96,254,Very Poor,51
Delhi,2024-03-02,2024,3,2,147,174,34,35,2.17,132,Poor,26
Delhi,2024-03-03,2024,3,3,193,226,41,26,1.15,172,Poor,34
Delhi,2024-03-04,2024,3,4,146,182,11,30,1.96,129,Poor,26
Delhi,2024-03-05,2024,3,5,265,322,48,33,1.02,238,Very Poor,48
Delhi,2024-03-06,2024,3,6,45,153,59,29,1.68,80,Moderate,16
Delhi,2024-03-07,2024,3,7,55,109,29,5,0.55,66,Moderate,13
Delhi,2024-03-08,2024,3,8,161,246,24,32,1.62,159,Poor,32
Delhi,2024-03-09,2024,3,9,234,306,60,29,0.73,220,Very Poor,44
Delhi,2024-03-10,2024,3,10,209,240,67,26,0.93,189,Poor,38
Delhi,2024-03-11,2024,3,11,189,268,24,37,2.14,179,Poor,36
Delhi,2024-03-12,2024,3,12,79,196,14,8,2.17,101,Poor,20
Delhi,2024-03-13,2024,3,13,66,174,64,20,2.45,97,Moderate,19
Delhi,2024-03-14,2024,3,14,143,258,39,23,2.07,156,Poor,31
Delhi,2024-03-15,2024,3,15,294,395,67,30,0.45,278,Very Poor,56
Delhi,2024-03-16,2024,3,16,136,207,32,13,1.85,136,Poor,27
Delhi,2024-03-17,2024,3,17,148,215,10,38,0.9,140,Poor,28
Delhi,2024-03-18,2024,3,18,137,194,10,20,1.49,128,Poor,26
Delhi,2024-03-19,2024,3,19,211,283,78,26,1.93,205,Very Poor,41
